Code,USGBILL3
3/31/2011,0.09
4/29/2011,0.04
5/31/2011,0.06
6/30/2011,0.03
7/29/2011,0.1
8/31/2011,0.02
9/30/2011,0.02
10/31/2011,0.01
11/30/2011,0.01
12/30/2011,0.02
1/31/2012,0.06
2/29/2012,0.08
3/30/2012,0.07
4/30/2012,0.1
5/31/2012,0.07
6/29/2012,0.09
7/31/2012,0.11
8/31/2012,0.09
9/28/2012,0.1
10/31/2012,0.11
11/30/2012,0.08
12/31/2012,0.05
1/31/2013,0.07
2/28/2013,0.11
3/29/2013,0.07
4/30/2013,0.05
5/31/2013,0.04
6/28/2013,0.04
7/31/2013,0.04
8/30/2013,0.03
9/30/2013,0.02
10/31/2013,0.04
11/29/2013,0.06
12/31/2013,0.07
1/31/2014,0.02
2/28/2014,0.05
3/31/2014,0.05
4/30/2014,0.03
5/30/2014,0.04
6/30/2014,0.04
7/31/2014,0.03
8/29/2014,0.03
9/30/2014,0.02
10/31/2014,0.01
11/28/2014,0.02
12/31/2014,0.04
1/30/2015,0.02
2/27/2015,0.02
3/31/2015,0.04
